State,Participant Name,Institution,Collection,Project Title,Link,Years Covered,Year of Interview,Project Overview
Tennessee ,Frances Louise Dancy Hooks,The History Makers,Civic Makers,Frances Louise Dancy Hooks,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/25%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&28%2C28%2C,1940-1980s,2005,"Hooks taught second grade in a Shelby County, Tennessee Rosenwald school and married Reverend Benjamin Hooks in 1951."
Tennessee ,Mary Mitchell,Memphis Public Libraries,901 Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/collection/voices-901/id/266/rec/1,N/A,2021,"This is an interview with Mary Mitchell concerning growing up in Orange Mound and the history of that neighborhood. A significant portion centers on her family story going all the way back to emancipation. Although, there is much wider discussion of the neighborhood itself along with local institutions such as Mount Pisgah CME Church and Melrose High School.

Mrs. Mitchell is the official historian of the Orange Mound neighborhood. The interview was conducted in anticipation of the renovation and re-opening of the old Melrose High School."
Texas,E.C. Struggs,Texas Tech University,Texas Tech University - Southwest Collection/Special Collections Library,N/A,https://search.worldcat.org/title/43363948,1939-1945,1969,"E.C. Struggs, educator and principal in Lubbock's black community, discusses the early Lubbock Public School system and the progress of black education in East Lubbock during the era of segregation"
Texas,Lucille Nix (B. 1904),University of Northern Texas,UNT Oral History Program Collection,,https://oralhistory.unt.edu/oh-0949,1949-1969,1993,"Schoolteacher. Her experiences at the Frederick Douglass Colored School, Denton, Texas, 1949-69. Relationship with students; church activities; comments about Principal Fred Moore."
Texas,"Peace, Erma B. (B. 1919)",University of Northern Texas,UNT Oral History Program Collection,,https://oralhistory.unt.edu/oh-0907,1925-1936,1991,"Her experiences as a student at the Frederick Douglass Colored School, Denton, Texas, 1925-36. Family background; school facilities; school extra-curricular activities; physical layout of Frederick Douglass Colored School; comments about teachers and Principal Fred Moore; church activities; segregated public facilities in Denton."
Texas,Odysea Wallace,The History Center Online,--,Odyesa Wallace,https://www.thehistorycenteronline.com/oral-history/wallace-odyesa,1960s-1990,1985,"In an interview at a meeting of the Diboll Historical Society, longtime Diboll teacher Odisha Wallace recalls her 25 years in Diboll schools. She taught in Diboll from 1960 to 1985, starting at black school, Temple, and going through integration and beyond. Mrs. Wallace spent most of her teaching career in the elementary grades and she recalls the black teacher's struggle for books and supplies when she first came to Diboll, the process of integration, and many of her students through the years."
Texas,Robert Lewis Gilbert,Oral History Collection,--,Robert Lewis Gilbert,https://digitalcollections-baylor.quartexcollections.com/Documents/Detail/oral-memoirs-of-robert-lewis-gilbert-series-1-audio/1602008,1965-1970s,1975,"Robert L. Gilbert was one of the two first black graduates of Baylor University, 1967, and the first black to teach in all-white Waco schools; family history; education in Waco schools; experience as first black teacher in white Waco schools; graduate study, Baylor; religious background; call to ministry; ministry in rural churches; academic standards at Baylor; early awareness of racial discrimination; father's reaction to discrimination; racial segregation of Waco entertainment facilities; discrimination by Baylor professors; influence of Ralph Lynn and Rufus Spain; employment at Tennyson Junior High, Waco; effect of his hiring on black community; acceptance by fellow Baylor students; director, Baylor's Upward Bound program; marriage; experience with crippling arthritis; civic activities; association with Doris Miller Dialogue Group, study of civil rights; establishment of Waco Human Relations Commission; intervention on behalf of young blacks wanting a Project Self-Help; effect of closed city council meetings; involvement in Thurman Dorsey city council campaign; controversy over naming of Jefferson-Moore High School; dissolution of Project Self-Help; integration of Waco schools; decision to exchange teachers; sister’s experience as exchange teacher; meeting with Avery Downing over school integration; discussions between black and white high school students; advisory panel on school redistricting."
Texas,"Crafton, Elizabeth Anderson",Fisk University,Fisk University Oral History Collection : OH 129 Archives Range 9 Cabinet 2,,https://www.fisk.edu/wp-content/uploads/2020/06/crafton-lizziea.collection1886-1941.pdf,1880s-1890s,1972,"Describes her father, Dr. Laurine C. Anderson and their family history; describes her experiences as a teacher and civic worker in Austin, TX."
Texas,Christina Adair,"Schlesinger Library, Radcliffe Institute, Harvard University,",Black Women Oral History Project,"Interview with Christia Adair, April 25, 1977",https://search.alexanderstreet.com/view/work/bibliographic_entity%7Cbibliographic_details%7C3282159#page/9/mode/1/chapter/bibliographic_entity%7Cdocument%7C3282162,1910s-1970s,1977,"Christia Daniels Adair has been a dedicated and tireless civil rights leader and a politician, involved for over 40 years in many of the events that have brought change and improvements for blacks in Texas, primarily in Houston."
Texas/Illinois,Ethel Darden,The History Makers,Education Matters,Ethel Darden,https://www.thehistorymakers.org/biography/ethel-darden-38,1940s-1980s,2004,"She taught school in Dallas for nearly two decades. In 1942, she married Joseph Darden and moved to Chicago where another one of her sisters, Doris Allen, had co-founded Chicago's privat, Howalton Day School. It was Chicago's oldest private school for African-Americans."
Virginia,Mrs. Barbara Blakey,James Madison University,,"Integration: The African American Experience in Harrisonburg, Virginia",https://researchworks.oclc.org/archivegrid/collection/data/41283941,1955-1996,1997,"Records Mrs. Blakey's recollections of growing up and working in Virginia during the segregation and integration era following World War II. In particular, talks about the influence of her parents; college education; teaching career (1955-1996)"
Virginia,Rachel Brown,The History Makers,Education Matters,Rachel Brown,https://www.thehistorymakers.org/biography/rachel-brown-38,1940s-,2004,"She earned a Teacher's Certificate from Coppin State Normal School (later Coppin State University) in Baltimore 1930; She began her teaching career in a two-room schoolhouse in Anne Arundel County. She was a teacher and administrator in several schools. She and her husband, Phillip L. Brown, Sr., launched an effort for equal pay for African-American teachers in Maryland."
Virginia,Malcolm Mcleod Brown,The History Makers,Education Matters,Malcolm McCleod Brown,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/61%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&71%2C71%2C,1950s-,2004,"For more than thirty years, Brown taught at the Shaker Heights High School."
Virginia,Patricia Turner,The History Makers,Civic/Education Makers,Patricia Turner,https://www.thehistorymakers.org/biography/patricia-turner-41,N/A,2010,"Along with sixteen other students, Turner helped pave the way for integration in the south. Turner taught for Norfolk Public Schools as a middle school math teacher until 2008"
Virginia ,J. Rupert Picott,The City College of New York,Hatch-Billops Oral History of Black Culture,"Picott, J. Rupert",https://library.ccny.cuny.edu/hatchbillops/list,-1974,1974,N/A
Virginia ,Willy and Marquetta Mitchell ,Shenadoah County,Truban Archives,WILLY AND MARQUETTA MITCHELL ORAL HISTORY INTERVIEW,https://archives.countylib.org/items/show/15119,N/A,2016,"Oral history interview featuring Willy and Marquetta Mitchell conducted on February 4, 2016 for the Shenandoah County Library's Black History Month Program. Willy and Marquetta were the first two African American students to attend Strasburg High School."
Washington D.C.,DeAnna Banks Beane,The History Makers,Education Matters,DeAnna Banks Beane,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/1%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&7%2C7%2C,1960s-1990s,2013,"After serving fourteen years as a science teacher and two years as a program officer for a school desegregation assistance center, Beane was appointed education director for the National Urban Coalition where she developed a national program to increase minority involvement in science and mathematics."
Washington DC,Carter Bowman,The History Makers,Religion Matters,Carter Bowman,https://www.thehistorymakers.org/biography/carter-bowman-40,1940s-1960s,2004,"In 1946, Bowman began his teaching career in printing at Brown Junior High School in Washington, D.C. Between 1948 and 1952"
"Washington, D.C.",Reginald Weaver,The History Makers,Education Matters,Reginald Weaver,https://www.thehistorymakers.org/biography/reginald-weaver-41,1970s,2007,"Educator and labor leader Reginald Lee Weaver was born on August 13, 1939 in Danville, Illinois. In 1996, Weaver became the vice president of the National Education Association, the nation's largest union and was elected as president of the organization in 2002."
"Washington, D.C.",Thelma Groomes,The History Makers,Education Matters,Thelma Groomes,https://www.thehistorymakers.org/biography/thelma-groomes-39,1930s-1970s,2003,"Groomes began teaching at Hine Junior High School in 1959, where she remained until retirement in 1972."
"Washington, D.C.",Helen McDowell,The History Makers,Education Matters,Helen McDowell,https://www.thehistorymakers.org/biography/helen-mcdowell-39,1920s-1990,2003,"Entrepreneur and educator Helen Newberry McDowell was born on September 28, 1903 in Abingdon, Virginia. McDowell attended Morristown Industrial School where her mother taught. In the 1940s, McDowell bought six houses in Washington, D.C., converting them into rooming houses for students. McDowell taught English at Phelps Vocational High School in Washington, D.C. from 1950 until her retirement in 1973."
"Washington, D.C.",Floretta McKenzie,The History Makers,Education Matters,Floretta McKenzie,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/49%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&51%2C51%2C,1950s-2000,2003,"McKenzie earned her B.A. degree from D.C. Teachers College in 1956 and her M.Ed. from Howard University in 1957 before working as a teacher in Maryland. She rose through the ranks as an educator in Maryland and Washington, D.C. before being hired as deputy assistant secretary by the U.S. Department of Education."
"Washington, D.C.",Richard Fairley,The History Makers,Education Matters,Richard Fairley,https://www.thehistorymakers.org/biography/richard-fairley-39,1950s,2003,"During the 1960s, Fairley began his work with the U.S. Department of Education, where he helped integrate the University of Alabama football team and eliminate segregation in six southern states."
West Virginia,Fannie Ashe Thomas,Marshall University,--,Oral History Interview: Fannie Ashe Thomas,https://mds.marshall.edu/oral_history/590/,1940s,1999,"This interview is one of series conducted concerning Oral Histories of African-American women who taught in West Virginia public schools. Mrs. Fannie Ashe Thomas was born in Mount Hope, West Virginia. She gives us detailed information about her family throughout the interview, including her father, who was a coal miner and who bought a bus to transport kids to school, her son Gavin, her marriages, family life, the home her father built, the ways her family influenced her, and her brother Tom's death. She also provides detailed information about her childhood and her education, recalling: social events; race relations during childhood; economics during her childhood; a brief section about a fire that destroyed Mount Hope; a mining camp; teachers she remembers; a brief mention of someone bombing an old school building; and her college experience. Her teaching career is another important focus, and she describes it in detail. She also recalls the desegregation of schools and businesses and discusses race relations, how being African-American and a woman might have limited her opportunities in life, her opinion on whether or not women and African-Americans have better lives now than in the past, black-white relationships (including dating), discrimination among blacks, as well as the Ku Klux Klan and civil rights activities. There are numerous other discussion points in this interview, and some of them include: minstrel shows; churches and religion; her social life as an adult; medical care in Mount Hope; operettas at her school; how she has changed over her life; and many other topics. The interview ends with more discussion of her family."
West Virginia,Katherine G. Johnson,The History Makers,Education Matters,Katherine G. Johnson,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/49%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&52%2C52%2C,1940s-1980s,2012,Johnson earned her B.S. degree in French and mathematics in 1937. She then worked as a high school mathematics teacher until 1953 when she became a research mathematician for the National Aeronautics and Space Administration (NASA).
West Virginia,Florence Walker Casey,Mashalll Univeristy,ORAL HISTORY,Oral History Interview: Florence Walker Casey,https://mds.marshall.edu/oral_history/568/,1960s,1997,"This interview is one of series conducted concerning Oral Histories of African-American women who taught in West Virginia public schools. Florence Walker Casey began teaching in 1960 at Lincoln Heights in Cincinnati, Ohio. She discusses her family in detail throughout the interview, including family life during childhood, her marriage and divorce, raising her son as a single mother and her relationship with her son, as well as her thoughts on single parents in general. She also gives us detailed information about her education (which includes Garnett High School and West Virginia State College) and she tells us about her sorority (Alpha Kappa Alpha), which gave Florence a scholarship in college. She includes detailed information about her childhood, including activities, entertainment, social affairs, and dating. Her employment history is a large topic, and this includes her jobs outside of teaching. Her first job was at Lincoln Heights, and she had problems finding subsequent work. She also had to stop work because of her pregnancy, but later taught at Loundendale Elementary and Fruth Elementary School. In addition to general information about her teaching career, she also discusses more specific topics in education, such as her students, medication use in students, discipline problems she sees in children, problems faced by black students, struggles she has had with parents, changes she sees in modern students, as well as her decision to become a teacher in the first place. Racism, race relations, and sexism are other topics, including her growing awareness of prejudices and personal experiences with it, as well as prejudices she sees among African-Americans. Some other topics she discusses are: church and religion in her life (she was a Baptist); her sex education; organizations she belonged to; her life in Cincinnati; her friends; thoughts on her life in general; loses in her life (such as her divorce and losing a family member named Cybil); her thoughts on the modern world; life-changing events; her current life and her current activities; her self-perceptions; religion in her life; her thoughts on her American and West Virginian identity; and numerous other subjects. The interview concludes with one of the interviewers (Ancella Bickley) discussing modern African- American women."
West Virginia ,Willie Hise,Marshall University Special Collections,,Willie Hise,https://mds.marshall.edu/oral_history/578/,1920s-,1999,This interview is one of series conducted concerning Oral Histories of African-American women who taught in West Virginia public schools.
Wisconsin,Grant and Lucinda Gordon,University of Wisconsin Milwaukee,,March on Milwaukee |Civil Rights Project,https://collections.lib.uwm.edu/digital/collection/march/id/1599/,N/A,1995,"Grant Gordon became the first black principal in Milwaukee in 1960 at Garfield High School; Lucinda Gordon was active with the National Association for the Advancement of Colored People (NAACP) in Milwaukee. They share their impressions of the Milwaukee United School Integration Committee's school boycotts in 1964 and 1965, the problems of busing in 1979 and 1980, the Project Rise program for academically struggling schools, and the Lady Pitts program for providing education for pregnant teens."
Wisconsin,Michael Evans Carter,The History Makers,Education Matters,Michael Evans Carter,https://www.thehistorymakers.org/sites/default/files/A2008_137_Carter_Michael_EAC.pdf,1980s-2000,2008,"Carter produced a series of video instructional videotapes on how instructors should teach math to children. He also produced two video series teaching the Swahili and Yoruba languages to children. Carter moved to Detroit, Michigan, in the 1990s, and worked for the Detroit Cable Commission as a producer and director."
Wisconsin,Lauri Wynn,Wisconsin Historical Society,March On Milwaukee - Civil Rights History Project,"Oral History Interview with Lauri Wynn, June 9, 1995",https://collections.lib.uwm.edu/digital/collection/march/id/1560,1960s,1995,"Lauri Wynn was a teacher in the Milwaukee Public School district starting in the 1960's. She discussed her work with the Board of Governmental Operations, the planning and implementation of the Interrelated Language Skills Center, her work with the United Community Action Group, and her children's experience in schools during the 1960's and 1970's."
Washington ,Thelma DeWitty,Washington Secretary of State ,"Bicentennial Oral History Program, Black Project, 1975-1976",,https://digitalarchives.wa.gov/Record/View/8F1B6612E3628863CF1445D2D3E99BD6,1912-1977,1976,"Thelma DeWitty (1912-1976) discusses going to school in Texas; finishing school in the midst of the Depression; teaching in a W.P.A. school; studying Special Education at the University of Washington and the process she went through to be hired by the Seattle Public School System.   She discusses the reaction of the Black community to her hiring; the cordial reception at the Frank B. Cooper School; resentment from teachers and parents; the changes she initiated, and the schools she taught in from 1947 to 1973.   Thelma also discusses her family background; her husband's work; buying property; being a delegate to the Democratic convention; her community involvement; the Red Scare of the 1950s; and discrimination in Texas and Washington.   She concludes the interview on March 26, 1977, with comments on the smallpox epidemic; corporal punishment; and the bomb placed under her car while living in Governor Rosellini's former home. "
Louisiana,,,,,http://ladigitalmedia.org/video_v2/asset-detail/OH-0028,,,
,,,,,https://docsouth.unc.edu/sohp/civil_rights.html,,,
,,,,,https://vimeo.com/showcase/11212073/video/1012107043,,,
,,,,,https://soar.kennesaw.edu/handle/11360/3578,,,
,,,,,https://soar.kennesaw.edu/handle/11360/3529,,,
,,,,,https://digital.library.unt.edu/explore/collections/CRMDC/,,,
